feature,importance
l360d_live_dgmv,15824531.851913452
l180d_live_dgmv,4589704.352584839
live_view_duration_30d,1659948.996307373
live_view_duration_14d,1066077.867401123
l7d_live_buy_days,579398.5169677734
live_view_duration_7d,401393.10974121094
l7d_live_dgmv,212892.13682556152
live_engage_cnt_30d,149273.2311553955
l90d_live_dgmv,83650.98104858398
l360d_live_order_cnt,76557.79927062988
live_view_cnt_3d,74293.83737182617
l7d_live_order_cnt,59011.43826293945
live_view_cnt_7d,58730.10786437988
live_goods_impression_cnt_30d,58436.14125061035
live_engage_cnt_14d,54043.37812805176
live_view_cnt_14d,53247.69969177246
live_engage_cnt_7d,51741.10060119629
live_view_duration_3d,48762.031982421875
l60d_dgmv_per_live_order,47327.957946777344
l360d_dgmv_per_live_order,45805.2878112793
live_shequ_active_flag,44894.82206726074
live_buy_now_days_14d,39078.45788574219
second_last_live_view_to_today_days,35498.49588012695
live_buy_active_flag,35458.066009521484
live_view_cnt_30d,34554.18794250488
first_live_view_to_today_days,33979.48498535156
l180d_dgmv_per_live_order,30120.470001220703
customer_stage_live_yesterday,30109.327728271484
second_last_goods_live_view_to_today_days,28554.964065551758
l720d_2nd_live_entrance_type,28224.629989624023
live_buy_now_days_7d,26629.5428314209
last_live_view_to_today_days,26296.304107666016
live_buy_now_days_30d,26262.40591430664
goods_live_view_cnt_30d,25535.344970703125
live_buy_now_days_3d,23535.43394470215
last_goods_live_view_to_today_days,21998.768005371094
first_goods_live_view_to_today_days,21560.76202392578
live_click_cnt_30d,21537.170974731445
live_engage_cnt_3d,21388.889099121094
live_click_cnt_7d,21366.238006591797
top_live_entrance_type_click_7d,20630.059951782227
last_goods_live_buy_to_today_days,20251.78289794922
live_impression_cnt_30d,20070.22914123535
l60d_live_dgmv,19479.740005493164
live_impression_cnt_14d,19127.708938598633
live_click_cnt_14d,18930.507034301758
goods_live_view_cnt_14d,18857.50016784668
goods_live_view_cnt_3d,18637.69696044922
goods_live_view_cnt_7d,18619.891876220703
top_live_entrance_type_click_3d,18384.33399963379
live_top_first_category_click_14d,18302.36492919922
live_top_entrance_channel_group_click_30d,16300.595169067383
top_live_entrance_type_click_30d,15103.967971801758
l360d_live_buy_days,15073.112930297852
second_last_goods_live_buy_to_today_days,14601.816009521484
live_top_first_category_click_7d,14238.023941040039
live_goods_impression_cnt_14d,13828.946960449219
l30d_live_dgmv,13239.247955322266
live_buy_days_30d,12888.156967163086
live_engage_days_30d,12773.673065185547
live_impression_cnt_7d,12269.882904052734
live_top_first_category_click_3d,11688.69401550293
top_live_entrance_type_click_14d,11615.204025268555
l180d_live_order_cnt,10257.026992797852
l90d_live_order_cnt,10208.78108215332
l720d_last_reverse_live_entrance_type,9925.146041870117
live_click_cnt_3d,9793.597930908203
goods_live_view_days_30d,9540.106002807617
first_goods_live_buy_to_today_days,9359.895980834961
live_add_cart_cnt_14d,8570.751846313477
live_impression_days_30d,7644.407913208008
live_goods_click_cnt_7d,7508.279983520508
live_goods_impression_days_30d,7321.893951416016
live_goods_click_cnt_30d,7236.910995483398
live_goods_click_days_30d,7223.775985717773
l720d_last_live_entrance_type,7204.089981079102
live_click_days_3d,6881.216079711914
live_top_first_category_impression_7d,6626.619003295898
live_engage_days_14d,6604.555038452148
live_goods_impression_cnt_7d,6501.168029785156
live_top_entrance_channel_group_click_14d,6251.565017700195
l180d_live_buy_days,6194.358993530273
live_top_first_category_impression_30d,6188.493988037109
live_top_entrance_channel_group_click_7d,5951.845947265625
live_impression_cnt_3d,5834.112060546875
live_goods_click_cnt_3d,5787.129943847656
live_buy_cnt_30d,5559.53694152832
live_add_cart_cnt_7d,5463.177001953125
live_add_cart_cnt_30d,5454.134002685547
live_click_days_30d,5104.160049438477
live_goods_click_cnt_14d,4819.698974609375
live_goods_impression_to_click_30d,4699.529983520508
live_buy_days_14d,4613.481018066406
live_buy_now_cnt_30d,4306.693008422852
live_goods_impression_to_add_cart_30d,4300.324996948242
live_buy_days_3d,4100.4530029296875
goods_live_view_days_14d,4023.6749572753906
live_click_days_7d,4014.885971069336
live_goods_click_days_3d,3978.4149475097656
l60d_live_order_cnt,3969.385009765625
live_add_cart_cnt_3d,3728.0599975585938
live_impression_days_14d,3635.2050170898438
l90d_live_buy_days,3520.7760009765625
live_click_days_14d,3445.085983276367
l30d_live_order_cnt,3242.2020874023438
live_top_entrance_channel_group_click_3d,3099.143020629883
goods_live_view_days_3d,2993.5460357666016
live_buy_cnt_14d,2857.1490325927734
live_buy_days_7d,2798.8589782714844
live_goods_click_days_14d,2606.5799560546875
live_goods_impression_days_7d,2557.198043823242
l60d_live_buy_days,2540.7559814453125
live_top_first_category_click_30d,2480.311004638672
live_engage_days_7d,2476.3699798583984
live_view_days_30d,2450.0899810791016
live_view_days_14d,2339.624969482422
live_buy_cnt_7d,2339.374984741211
live_impression_days_7d,2249.864013671875
ltd_1st_live_entrance_type,2229.7230072021484
live_buy_cnt_3d,2208.2250366210938
goods_live_view_days_7d,1935.0550079345703
live_goods_impression_to_buy_30d,1741.3509979248047
live_goods_impression_to_buy_now_30d,1552.3399810791016
live_engage_days_3d,1544.6390380859375
live_top_first_category_impression_14d,1535.125
live_impression_to_view_30d,1483.5349884033203
live_buy_now_cnt_14d,1111.5030059814453
live_view_days_7d,1082.998031616211
live_impression_days_3d,1051.4549865722656
live_add_cart_days_14d,965.6059875488281
l720d_1st_live_entrance_type,823.5400085449219
live_goods_impression_cnt_3d,817.6100006103516
l30d_live_buy_days,714.6660003662109
live_add_cart_days_30d,583.3770141601562
live_add_cart_days_7d,522.1790161132812
live_add_cart_days_3d,509.37298583984375
live_view_days_3d,375.6130065917969
live_buy_now_cnt_3d,364.9779968261719
live_goods_impression_days_3d,291.72198486328125
live_goods_impression_days_14d,282.8819885253906
live_goods_click_days_7d,275.33599853515625
live_top_first_category_impression_3d,214.62899780273438
live_buy_now_cnt_7d,0.0
