feature,importance
l360d_live_dgmv,11488957.68182373
l180d_live_dgmv,5124429.329925537
l7d_live_buy_days,3150723.9230804443
live_view_duration_30d,1917072.1278533936
live_view_duration_14d,1022733.2250976562
l360d_live_order_cnt,544823.5156097412
live_view_duration_7d,500163.9427947998
l90d_live_dgmv,415246.4136810303
l7d_live_dgmv,266643.22386169434
live_engage_cnt_30d,142672.84118652344
live_buy_days_3d,123750.19535827637
live_view_cnt_7d,66825.54113769531
l7d_live_order_cnt,65199.877838134766
customer_stage_live_yesterday,62518.84651184082
live_view_cnt_30d,57578.49514770508
live_engage_cnt_14d,55067.48664855957
live_view_cnt_3d,53846.92185974121
live_shequ_active_flag,50468.87791442871
live_view_cnt_14d,46955.83206176758
live_buy_days_7d,45488.884841918945
live_view_duration_3d,45168.55113220215
live_goods_impression_cnt_30d,41872.17903137207
l60d_dgmv_per_live_order,40508.572021484375
l720d_2nd_live_entrance_type,39734.75190734863
live_engage_cnt_7d,39178.38702392578
live_top_first_category_impression_30d,37508.90411376953
live_buy_active_flag,35124.64010620117
live_buy_now_days_14d,32734.560958862305
first_live_view_to_today_days,29749.754013061523
live_buy_now_days_30d,29004.735916137695
goods_live_view_cnt_30d,28984.01106262207
second_last_goods_live_view_to_today_days,28688.755111694336
l360d_dgmv_per_live_order,28527.106964111328
live_buy_now_days_7d,25051.38491821289
live_impression_cnt_30d,21707.763961791992
live_buy_now_days_3d,20963.92091369629
first_goods_live_view_to_today_days,20833.39390563965
live_buy_days_14d,20471.22511291504
goods_live_view_cnt_3d,19937.03204345703
live_click_cnt_7d,19227.749237060547
second_last_live_view_to_today_days,18919.91893005371
l60d_live_dgmv,18621.402053833008
live_engage_cnt_3d,18403.653869628906
live_click_cnt_30d,18211.491943359375
live_top_entrance_channel_group_click_14d,17816.865036010742
last_live_view_to_today_days,17690.157989501953
l180d_dgmv_per_live_order,17096.87905883789
last_goods_live_view_to_today_days,17062.787017822266
l30d_live_dgmv,16618.536041259766
goods_live_view_cnt_14d,16559.566024780273
last_goods_live_buy_to_today_days,16145.082992553711
live_top_entrance_channel_group_click_3d,16138.458862304688
