feature,importance,gain_ratio
numeric__l180d_live_dgmv,911477.0743575096,0.347747873923652
numeric__l90d_live_dgmv,638349.2925209999,0.24354382083753415
numeric__live_goods_impression_cnt_30d,116237.84125232697,0.04434720664089585
numeric__l360d_live_dgmv,86017.23127031326,0.03281740170605539
numeric__live_goods_impression_cnt_14d,60444.18108463287,0.023060739600119517
numeric__live_goods_click_cnt_30d,59724.54032993317,0.022786181358913027
numeric__l60d_live_dgmv,56464.68929052353,0.021542478911364824
numeric__live_add_cart_cnt_30d,37776.3452167511,0.01441247849595229
numeric__l360d_live_order_cnt,29249.08085012436,0.01115914592478521
numeric__l180d_live_order_cnt,28965.73257112503,0.01105104253483281
numeric__live_goods_click_cnt_14d,25037.74922466278,0.009552433413476027
numeric__live_goods_impression_cnt_7d,23032.64282464981,0.008787442710789711
numeric__first_goods_live_buy_to_today_days,18628.05142068863,0.007106997486964895
numeric__first_live_view_to_today_days,15169.735152721405,0.005787576337081453
numeric__l360d_dgmv_per_live_order,14930.406397819519,0.005696267331043544
numeric__live_goods_impression_to_click_30d,13680.107622623444,0.005219251777854497
numeric__l360d_live_buy_days,12068.52936887741,0.004604400425946595
numeric__first_goods_live_view_to_today_days,11952.811522006989,0.004560251608212942
numeric__live_goods_impression_cnt_3d,11875.343865394592,0.004530696050928304
numeric__l90d_live_order_cnt,11741.273071289062,0.004479545193800802
numeric__live_goods_impression_to_buy_now_30d,11532.145429611206,0.004399758554270232
numeric__l180d_dgmv_per_live_order,11260.408988952637,0.004296085327411282
numeric__live_engage_cnt_30d,11075.832061767578,0.004225665307193868
numeric__live_view_duration_30d,10942.594246387482,0.004174832249151985
numeric__live_view_duration_14d,10607.251237869263,0.004046891764933475
numeric__l60d_dgmv_per_live_order,10575.30674791336,0.004034704263153936
numeric__live_add_cart_cnt_14d,10525.972118377686,0.004015882053561956
numeric__live_goods_click_cnt_7d,10181.036579608917,0.0038842818151992955
numeric__live_goods_impression_to_add_cart_30d,9935.41023683548,0.0037905701455565742
numeric__live_impression_to_view_30d,9828.343680858612,0.003749721979149835
numeric__live_goods_impression_to_buy_30d,8968.616019248962,0.0034217176059308505
numeric__live_impression_cnt_30d,8336.737962245941,0.003180642698965476
categorical__live_top_first_category_impression_30d,8066.779887676239,0.003077647956561988
categorical__live_top_first_category_click_30d,8049.359449386597,0.003071001689147844
numeric__live_view_cnt_30d,7891.5547432899475,0.003010795840219676
numeric__live_engage_cnt_14d,7712.393126010895,0.002942441875813681
numeric__live_impression_cnt_14d,7584.480945110321,0.0028936406605022964
numeric__live_click_cnt_30d,7331.67448759079,0.0027971896244972975
numeric__l180d_live_buy_days,7247.361362457275,0.002765022375496871
numeric__goods_live_view_cnt_30d,7081.554313182831,0.0027017634625863237
numeric__live_add_cart_days_30d,6955.231724262238,0.0026535687103961684
numeric__l30d_live_dgmv,6682.72104549408,0.002549600095244858
numeric__live_view_duration_7d,6445.743040561676,0.0024591879502767564
numeric__l7d_live_dgmv,6378.106264591217,0.002433383082875833
numeric__goods_live_view_cnt_7d,6246.998219966888,0.0023833625776376343
numeric__live_view_duration_3d,6018.508345127106,0.0022961888346835135
numeric__l60d_live_order_cnt,6015.455981254578,0.002295024292999499
numeric__live_buy_now_cnt_30d,5977.427785873413,0.002280515728313684
