feature,importance,gain_ratio
numeric__l180d_live_dgmv,889830.0115675926,0.3447727041023828
numeric__l90d_live_dgmv,465200.6936907768,0.18024622571621376
numeric__l60d_live_dgmv,217638.1033797264,0.0843258559977693
numeric__l360d_live_dgmv,113936.48672580719,0.044145724592025475
numeric__live_goods_impression_cnt_30d,112079.11289358139,0.04342606826402934
numeric__live_goods_click_cnt_30d,70177.19760322571,0.027190791352797037
numeric__live_goods_impression_cnt_14d,60255.72914028168,0.0233466284608199
numeric__live_add_cart_cnt_30d,30867.10915851593,0.011959741247271442
numeric__l360d_live_order_cnt,29859.79099559784,0.01156944669392311
numeric__live_goods_impression_cnt_7d,25936.433942317963,0.010049306439229409
numeric__l180d_live_order_cnt,25824.526880264282,0.010005947033622904
numeric__first_goods_live_buy_to_today_days,16852.185143470764,0.006529531895325458
numeric__l360d_dgmv,16184.042974472046,0.006270654155379707
numeric__live_goods_click_cnt_14d,16137.991309165955,0.006252811020208274
numeric__l360d_dgmv_per_live_order,14173.428284168243,0.005491623267825338
numeric__first_live_view_to_today_days,12118.9182138443,0.004695584717379844
numeric__first_goods_live_view_to_today_days,11652.933304309845,0.004515034640126247
numeric__live_add_cart_cnt_14d,11114.054459095001,0.004306241146725201
numeric__live_goods_click_cnt_7d,10984.688180446625,0.004256117009384982
numeric__live_goods_impression_to_click_30d,10922.10939836502,0.004231870293004063
numeric__total_orders,10909.213589668274,0.004226873695026736
numeric__l360d_buy_days,10374.408101081848,0.004019658460575485
numeric__l360d_live_buy_days,10344.626718997955,0.004008119394125161
numeric__live_view_duration_14d,10300.598258972168,0.003991060168179509
numeric__live_engage_cnt_30d,10045.187606811523,0.0038920989957564214
numeric__live_view_duration_30d,9784.993745803833,0.0037912845257067713
numeric__live_goods_impression_cnt_3d,9746.713520526886,0.0037764525054210865
numeric__live_add_cart_days_30d,9435.30351305008,0.0036557938751584614
numeric__live_goods_impression_to_buy_now_30d,9402.315556526184,0.0036430123923744417
numeric__l60d_dgmv_per_live_order,9067.421073913574,0.003513254489338658
numeric__l180d_dgmv_per_live_order,8843.677199363708,0.003426562896953496
numeric__live_goods_impression_to_add_cart_30d,8383.075125217438,0.003248098448065313
numeric__live_impression_to_view_30d,8256.251738071442,0.0031989595770884637
categorical__live_top_first_category_click_30d,8224.92704963684,0.003186822542602814
categorical__live_top_first_category_impression_30d,7454.064269542694,0.0028881447707475643
numeric__live_goods_impression_to_buy_30d,7452.525748729706,0.002887548656912207
numeric__live_impression_cnt_30d,7043.7866315841675,0.0027291789808406744
numeric__l30d_live_dgmv,6715.68079996109,0.0026020514021684676
numeric__live_view_cnt_30d,6556.224756717682,0.0025402687127785628
numeric__live_engage_cnt_14d,6554.406162261963,0.0025395640818715206
numeric__live_view_duration_3d,6395.744859218597,0.0024780893217762738
numeric__live_click_cnt_30d,6303.227175712585,0.002442242506648671
numeric__goods_live_view_cnt_30d,6238.272681713104,0.0024170752991498463
numeric__live_view_duration_7d,6073.59991979599,0.0023532713448213643
numeric__l7d_live_dgmv,6044.504494190216,0.0023419980584265384
numeric__live_impression_cnt_14d,5879.74759721756,0.0022781615052081205
numeric__l60d_live_order_cnt,5745.32047700882,0.0022260764989298814
numeric__l180d_live_buy_days,5655.37961769104,0.0021912280976923745
numeric__goods_live_view_cnt_7d,5460.755663871765,0.002115819282560192
numeric__live_buy_now_cnt_30d,5224.278607368469,0.002024194103403577
categorical__live_top_first_category_click_7d,5177.633613109589,0.002006121077550984
numeric__l90d_live_order_cnt,5141.586266040802,0.001992154206167619
categorical__live_top_first_category_click_14d,4798.2368631362915,0.0018591203676226774
numeric__live_buy_now_cnt_14d,4779.151610374451,0.0018517256134363295
numeric__live_impression_cnt_7d,4593.764776706696,0.0017798958042393902
numeric__live_goods_click_cnt_3d,4518.230886459351,0.0017506295137643452
numeric__live_impression_cnt_3d,4498.49072933197,0.001742981010945
categorical__live_top_first_category_click_3d,4483.3220138549805,0.0017371037546322482
numeric__goods_live_view_cnt_14d,4416.63383436203,0.0017112648149734875
numeric__live_engage_cnt_7d,4335.802567958832,0.0016799460080872647
numeric__live_buy_cnt_30d,4300.603271484375,0.0016663077215940717
numeric__live_click_cnt_14d,4248.05141210556,0.0016459460273062793
numeric__live_view_cnt_14d,4110.67330121994,0.0015927176329401781
numeric__l90d_live_buy_days,3854.1963443756104,0.0014933433111015708
categorical__live_top_first_category_impression_14d,3799.2875413894653,0.0014720683976479237
categorical__live_top_first_category_impression_3d,3658.0803651809692,0.0014173563972128085
numeric__live_view_cnt_7d,3556.7961053848267,0.0013781128926344379
numeric__last_goods_live_buy_to_today_days,3509.6180868148804,0.0013598333416807698
categorical__live_top_first_category_impression_7d,3443.215777873993,0.0013341051651587616
numeric__second_last_goods_live_buy_to_today_days,3334.5895109176636,0.0012920169333524374
numeric__live_click_cnt_7d,3283.126473426819,0.0012720771129750787
numeric__live_engage_days_30d,3194.3330426216125,0.0012376732933159647
numeric__l60d_live_buy_days,3159.084123134613,0.0012240157799367401
numeric__l720d_last_to_today_days,3085.48095369339,0.001195497564739602
numeric__live_click_cnt_3d,3017.259421825409,0.0011690645138036212
numeric__live_buy_days_14d,2940.6104021072388,0.0011393661563066928
numeric__live_buy_now_cnt_7d,2923.8893938064575,0.0011328874500681576
numeric__live_add_cart_cnt_7d,2771.7997827529907,0.0010739589516053922
numeric__live_buy_now_days_30d,2737.1969046592712,0.0010605517528202222
numeric__live_goods_impression_days_30d,2732.593369960785,0.001058768071571227
numeric__live_engage_cnt_3d,2726.2267804145813,0.0010563012787397652
numeric__live_buy_now_cnt_3d,2578.2189841270447,0.0009989543164088456
numeric__l30d_live_order_cnt,2488.855348110199,0.0009643295655716923
numeric__live_buy_cnt_14d,2488.525578022003,0.0009642017931617249
numeric__goods_live_view_cnt_3d,2411.3998894691467,0.0009343187460038952
numeric__goods_live_view_days_30d,2410.083110332489,0.0009338085479910733
numeric__live_view_cnt_3d,2386.5036101341248,0.0009246724568960438
categorical__ltd_1st_live_entrance_type,2315.2075481414795,0.0008970481513932974
numeric__live_goods_click_days_30d,2272.379047393799,0.0008804538605473237
numeric__live_engage_days_14d,1991.510217666626,0.0007716286864530992
numeric__live_buy_now_days_14d,1969.3708596229553,0.0007630505914904892
numeric__live_click_days_30d,1883.753149986267,0.000729877233785357
numeric__live_buy_cnt_7d,1880.7893962860107,0.0007287289005483934
numeric__second_last_goods_live_view_to_today_days,1879.32084274292,0.0007281598961659962
categorical__top_live_entrance_type_click_30d,1801.1623754501343,0.0006978766895234604
numeric__live_impression_days_30d,1653.0641975402832,0.0006404947080136847
numeric__live_view_days_30d,1595.714267730713,0.0006182739578440042
categorical__l720d_last_reverse_live_entrance_type,1583.0846343040466,0.0006133804918878913
numeric__l30d_live_buy_days,1509.8239645957947,0.0005849949813169805
categorical__live_top_entrance_channel_group_click_30d,1509.6916666030884,0.0005849437212604532
numeric__live_add_cart_cnt_3d,1384.6834425926208,0.0005365081516945334
numeric__l7d_live_buy_days,1370.0281534194946,0.0005308298270573145
categorical__live_top_entrance_channel_group_click_14d,1346.2865591049194,0.0005216309311276102
numeric__goods_live_view_days_14d,1221.2234201431274,0.00047317408426600735
categorical__live_top_entrance_channel_group_click_3d,1215.6342668533325,0.000471008516159386
numeric__l7d_live_order_cnt,1209.5833196640015,0.0004686640218203254
categorical__top_live_entrance_type_click_14d,1202.355314731598,0.00046586346578893244
categorical__live_top_entrance_channel_group_click_7d,1173.4977278709412,0.00045468233217186037
numeric__live_add_cart_days_14d,1146.4671392440796,0.00044420908558182417
numeric__live_goods_click_days_14d,1063.6885495185852,0.0004121357706223045
categorical__l720d_2nd_live_entrance_type,1038.556492805481,0.0004023981274320431
numeric__live_goods_impression_days_14d,982.2211475372314,0.0003805704872398912
numeric__live_buy_cnt_3d,981.6858243942261,0.0003803630714355429
categorical__l720d_1st_live_entrance_type,931.3474025726318,0.00036085899359363806
numeric__live_click_days_14d,863.3011465072632,0.0003344938548562173
numeric__live_view_days_14d,809.3778743743896,0.00031360079426529875
categorical__top_live_entrance_type_click_3d,728.2337598800659,0.0002821607715502678
numeric__last_goods_live_view_to_today_days,683.1467180252075,0.0002646913884791215
numeric__live_buy_now_days_7d,640.2850437164307,0.00024808424423618974
numeric__live_goods_click_days_7d,582.8163585662842,0.00022581748123331097
categorical__top_live_entrance_type_click_7d,580.0008811950684,0.00022472659900412757
numeric__live_engage_days_7d,575.3807234764099,0.00022293647701528255
numeric__second_last_live_view_to_today_days,572.3989515304565,0.00022178116244569199
numeric__live_goods_impression_days_7d,551.181378364563,0.00021356022138976132
numeric__live_add_cart_days_7d,526.4764680862427,0.0002039880799576489
numeric__live_buy_days_30d,492.5237512588501,0.00019083279204869144
numeric__live_goods_click_days_3d,463.3653221130371,0.00017953509436116405
numeric__live_impression_days_14d,462.478723526001,0.00017919157370178856
numeric__live_click_days_7d,457.19929790496826,0.00017714601238804476
numeric__goods_live_view_days_7d,451.30673837661743,0.00017486288678398163
numeric__live_buy_now_days_3d,409.5790958404541,0.00015869513343110675
categorical__live_buy_active_flag,399.5216875076294,0.00015479829940427822
numeric__last_live_view_to_today_days,384.5240406990051,0.0001489873251977861
categorical__l720d_last_live_entrance_type,368.0273895263672,0.00014259554816229995
numeric__live_engage_days_3d,324.29949855804443,0.00012565278042255665
numeric__goods_live_view_days_3d,270.18149185180664,0.00010468426815596048
numeric__live_view_days_7d,246.31482887268066,9.543691323845504e-05
numeric__live_goods_impression_days_3d,170.11066055297852,6.591091744834665e-05
numeric__live_impression_days_7d,165.49799013137817,6.412369648061755e-05
numeric__live_buy_days_3d,165.15036725997925,6.398900684796637e-05
numeric__live_buy_days_7d,159.9792022705078,6.198539209728068e-05
categorical__customer_stage_live_yesterday,154.76092004776,5.996352134745434e-05
numeric__live_click_days_3d,152.06400966644287,5.891857897329182e-05
numeric__live_add_cart_days_3d,129.8988299369812,5.033047916445398e-05
numeric__live_impression_days_3d,111.58710098266602,4.3235433789161454e-05
categorical__live_shequ_active_flag,103.63609790802002,4.0154745573731634e-05
numeric__live_view_days_3d,96.13869953155518,3.724981061044258e-05
