rfm_type,dataset,segment,sample_count,positive_count,response_rate,sample_share
live,train,A,526643,51638.0,0.09805124154313263,0.6070987636531312
live,train,D,134706,632.0,0.004691698959214883,0.15528516671950202
live,train,N,166662,293.0,0.0017580492253783107,0.19212311593994064
live,train,U,39464,131.0,0.003319481046016623,0.04549295368742615
platform,train,MATURE,799746,52475.0,0.06561458262998503,0.9219239747543156
platform,train,N,31821,89.0,0.0027968951321454385,0.036682325139053
platform,train,NEW,35908,130.0,0.0036203631502729197,0.04139370010663131
live,validation,A,107511,11778.0,0.1095515807684795,0.6416460266778072
live,validation,D,24967,158.0,0.006328353426523011,0.14900778848736235
live,validation,N,29104,57.0,0.0019584936778449698,0.17369818865447167
live,validation,U,5973,31.0,0.0051900217646074,0.03564799618035869
platform,validation,MATURE,156696,11978.0,0.07644100679021801,0.9351914296798066
platform,validation,N,4439,15.0,0.003379139445821131,0.026492793411118737
platform,validation,NEW,6420,31.0,0.004828660436137072,0.03831577690907463
